,actively_hiring,Type_of_job,company_name,location,salary,experience
213,1.0,Influencer Marketing Specialist,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
214,1.0,Administration & Operations Trainee,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
215,1.0,Packaging Designer,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
216,,Social Media Manager,Deeshuumm,Delhi,₹  2 - 3 LPA,0-2 years
217,1.0,General Management Trainee,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
218,1.0,Blog Writer,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
219,1.0,Video Script Writer,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
220,1.0,Procurement Specialist,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
221,1.0,Product Designing Trainee (Early Childhood Toys),Pereyan LLP,Bangalore,₹  2 - 4 LPA,0-2 years
222,1.0,Laser Machine Operator Executive,Pereyan LLP,Bangalore,₹  2 - 4 LPA,0-2 years
223,1.0,Product Media Specialist,Pereyan LLP,Bangalore,₹  2 - 4 LPA,0-2 years
224,1.0,Human Resources & Business Executive,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
225,1.0,Supply Chain Executive,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
226,1.0,Toy Designer,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
227,1.0,Content Writer,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
228,1.0,Production Manager,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
229,1.0,Assistant Manager,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
230,1.0,Visual Design Trainee,Pereyan LLP,Bangalore,₹  2.5 - 3.5 LPA,0-2 years
231,1.0,Montessori Instructor Trainee,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
232,1.0,Associate Production Engineer,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
233,1.0,Content Marketing Analyst (SEO),Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
234,1.0,Digital Marketing Executive,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
235,1.0,Video Editor,Pereyan LLP,Bangalore,₹  3 - 3.1 LPA,0-2 years
236,1.0,Video Instructor Trainee,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
237,1.0,Poster Design Trainee,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
238,1.0,Marketing Trainee,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
239,1.0,Marketing Associate,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
240,1.0,E-commerce Reel Producer Trainee,Pereyan LLP,Bangalore,₹  2 - 4 LPA,0-2 years
241,1.0,Production Management Trainee (Wooden Toys And Papers),Pereyan LLP,Bangalore,₹  2 - 2.4 LPA,0-2 years
242,1.0,Business Development Executive,Zigsaw Consultancy,Chennai,₹  3 LPA,0-2 years
